postnr;navn;stormodtager
2860;Søborg;false
2870;Dyssegård;false
2880;Bagsværd;false
2900;Hellerup;false
2920;Charlottenlund;false
2930;Klampenborg;false
2942;Skodsborg;false
2950;Vedbæk;false
2960;Rungsted Kyst;false
2970;Hørsholm;false
2980;Kokkedal;false
2990;Nivå;false
3000;Helsingør;false
3050;Humlebæk;false
3060;Espergærde;false
3070;Snekkersten;false
3080;Tikøb;false
3100;Hornbæk;false
3120;Dronningmølle;false
3140;Ålsgårde;false
3150;Hellebæk;false
3200;Helsinge;false
3210;Vejby;false
3220;Tisvildeleje;false
3230;Græsted;false
3250;Gilleleje;false
3300;Frederiksværk;false
3310;Ølsted;false
3320;Skævinge;false
3330;Gørløse;false
3360;Liseleje;false
3370;Melby;false
3390;Hundested;false
3400;Hillerød;false
3450;Allerød;false
3460;Birkerød;false
3480;Fredensborg;false
3490;Kvistgård;false
3500;Værløse;false
3520;Farum;false
3540;Lynge;false
3550;Slangerup;false
3600;Frederikssund;false
3630;Jægerspris;false
3650;Ølstykke;false
3660;Stenløse;false
3670;Veksø Sjælland;false
3700;Rønne;false
3720;Aakirkeby;false
3730;Nexø;false
3740;Svaneke;false
3751;Østermarie;false
3760;Gudhjem;false
3770;Allinge;false
3782;Klemensker;false
3790;Hasle;false
4000;Roskilde;false
4030;Tune;false
4040;Jyllinge;false
4050;Skibby;false
4060;Kirke Såby;false
4070;Kirke Hyllinge;false
4100;Ringsted;false
4130;Viby Sjælland;false
4140;Borup;false
4160;Herlufmagle;false
4171;Glumsø;false
4173;Fjenneslev;false
4174;Jystrup Midtsj;false
4180;Sorø;false
4190;Munke Bjergby;false
4200;Slagelse;false
4220;Korsør;false
4230;Skælskør;false
4241;Vemmelev;false
4242;Boeslunde;false
4243;Rude;false
4244;Agersø;false
4245;Omø;false
4250;Fuglebjerg;false
4261;Dalmose;false
4262;Sandved;false
4270;Høng;false
4281;Gørlev;false
4291;Ruds Vedby;false
4293;Dianalund;false
4295;Stenlille;false
4296;Nyrup;false
4300;Holbæk;false
4305;Orø;false
4320;Lejre;false
4330;Hvalsø;false
4340;Tølløse;false
4350;Ugerløse;false
4360;Kirke Eskilstrup;false
4370;Store Merløse;false
4390;Vipperød;false
4400;Kalundborg;false
4420;Regstrup;false
4440;Mørkøv;false
4450;Jyderup;false
4460;Snertinge;false
4470;Svebølle;false
4480;Store Fuglede;false
4490;Jerslev Sjælland;false
4500;Nykøbing Sj;false
4520;Svinninge;false
4532;Gislinge;false
4534;Hørve;false
4540;Fårevejle;false
4550;Asnæs;false
4560;Vig;false
4571;Grevinge;false
4572;Nørre Asmindrup;false
4573;Højby;false
4581;Rørvig;false
4583;Sjællands Odde;false
4591;Føllenslev;false
4592;Sejerø;false
4593;Eskebjerg;false
4600;Køge;false
4621;Gadstrup;false
4622;Havdrup;false
4623;Lille Skensved;false
4632;Bjæverskov;false
4640;Faxe;false
4652;Hårlev;false
4653;Karise;false
4654;Faxe Ladeplads;false
4660;Store Heddinge;false
4671;Strøby;false
4672;Klippinge;false
4673;Rødvig Stevns;false
4681;Herfølge;false
4682;Tureby;false
4683;Rønnede;false
4684;Holmegaard;false
4690;Haslev;false
4700;Næstved;false
4720;Præstø;false
4733;Tappernøje;false
4735;Mern;false
4736;Karrebæksminde;false
4750;Lundby;false
4760;Vordingborg;false
4771;Kalvehave;false
4772;Langebæk;false
4773;Stensved;false
4780;Stege;false
4791;Borre;false
4792;Askeby;false
4793;Bogø By;false
4800;Nykøbing F;false
4840;Nørre Alslev;false
4850;Stubbekøbing;false
4862;Guldborg;false
4863;Eskilstrup;false
4871;Horbelev;false
4872;Idestrup;false
4873;Væggerløse;false
4874;Gedser;false
4880;Nysted;false
4891;Toreby L;false
4892;Kettinge;false
4894;Øster Ulslev;false
4895;Errindlev;false
4900;Nakskov;false
4912;Harpelunde;false
4913;Horslunde;false
4920;Søllested;false
4930;Maribo;false
4941;Bandholm;false
4942;Askø;false
4943;Torrig L;false
4944;Fejø;false
4945;Femø;false
4951;Nørreballe;false
4952;Stokkemarke;false
4953;Vesterborg;false
4960;Holeby;false
4970;Rødby;false
4983;Dannemare;false
4990;Sakskøbing;false
5000;Odense C;false
5200;Odense V;false
5210;Odense NV;false
5220;Odense SØ;false
5230;Odense M;false
5240;Odense NØ;false
5250;Odense SV;false
5260;Odense S;false
5270;Odense N;false
5290;Marslev;false
5300;Kerteminde;false
5320;Agedrup;false
5330;Munkebo;false
5350;Rynkeby;false
5370;Mesinge;false
5380;Dalby;false
5390;Martofte;false
5400;Bogense;false
5450;Otterup;false
5462;Morud;false
5463;Harndrup;false
5464;Brenderup Fyn;false
5466;Asperup;false
5471;Søndersø;false
5474;Veflinge;false
5485;Skamby;false
5491;Blommenslyst;false
5492;Vissenbjerg;false
5500;Middelfart;false
5540;Ullerslev;false
5550;Langeskov;false
5560;Aarup;false
5580;Nørre Aaby;false
5591;Gelsted;false
5592;Ejby;false
5600;Faaborg;false
5601;Lyø;false
5602;Avernakø;false
5603;Bjørnø;false
5610;Assens;false
5620;Glamsbjerg;false
5631;Ebberup;false
5642;Millinge;false
5672;Broby;false
5683;Haarby;false
5690;Tommerup;false
5700;Svendborg;false
5750;Ringe;false
5762;Vester Skerninge;false
5771;Stenstrup;false
5772;Kværndrup;false
5792;Årslev;false
5800;Nyborg;false
5853;Ørbæk;false
5854;Gislev;false
5856;Ryslinge;false
5863;Ferritslev Fyn;false
5871;Frørup;false
5874;Hesselager;false
5881;Skårup Fyn;false
