kode;navn
720653;Refs By, Hurup
721251;Adbøl Gde., Vestervig
721252;Astrup Gde., Vestervig
721253;Handrup By, Vestervig
721254;Oksenbøl By, Vestervig
721255;Randrup By, Vestervig
721256;Spolum Gde., Vestervig
721257;Staversbøl Gde., Vestervig
721258;Tåbel By, Vestervig
721259;Trankær By, Vestervig
721260;Tygstrup By, Vestervig
721261;Vejlegård, Vestervig
721262;Vesterby By, Vestervig
721263;Vestervig By, Vestervig
721264;Vestervigkloster Hgd., Vestervig
721265;Villerup By, Vestervig
721266;Skårup Gde., Vestervig
721351;Dover By, Ydby
721352;Flarup By, Ydby
721353;Holmegårde By, Ydby
721354;Refs By, Ydby
721355;Refs Hedegård, Ydby
721356;Sindrup By, Ydby
721357;Skibstedgård, Ydby
721358;Ydby By, Ydby
721359;Ydby Drag, Ydby
2005551;Thisted Bygrunde
2005552;Thisted Markjorder
580151;Aggersborg By, Aggersborg
580152;Aggersund By, Aggersborg
580153;Krøldrupgård, Aggersborg
580154;Thorup By, Aggersborg
580155;Ullerup By, Aggersborg
650151;Aars By, Aars
650152;Aars Præstegård, Aars
650153;Bakgård, Aars
650154;Dronningholm, Aars
650155;Dybvad Mølle, Aars
650156;Gundestrup By, Aars
650157;Pisselhøj By, Aars
650158;Pugholm, Aars
650159;Rævhale, Aars
650160;Slemstrup Gde., Aars
650161;Stenildvad Gde., Aars
650162;Svenstrup Gde., Aars
650163;Sjøstrup By, Aars
650164;Tandrup By, Aars
650165;Tolstrup By, Aars
650166;V. Oustrup, Aars
650167;Ø. Oustrup, Aars
650251;Blære By, Blære
650252;Langdal By, Blære
650253;Troelstrup By, Blære
650254;Kelddal Gde., Blære
650255;Kelddalskær, Blære
650551;Ejstrup By, Flejsborg
650552;Flejsborg By, Flejsborg
650553;Flejsborg-Svenstrup By, Flejsborg
650554;Gatten By, Flejsborg
650555;Ll. Sjørup By, Flejsborg
650651;Katby By, Giver
650652;Astrup By, Giver
650653;Giver By, Giver
650654;Mosbæk By, Giver
650751;Bjørnstrup By, Gundersted
650752;Ll. Ajstrup By, Gundersted
650753;Vormstrupgård, Gundersted
650851;Bandsholm, Havbro
650852;Havbro Gde., Havbro
650853;Jelstrup By, Havbro
650854;Mølgård Hgd., Havbro
650855;Nr. Havbro, Havbro
650856;Sdr. Havbro, Havbro
650857;Torsgårde, Havbro
651051;Boltrup, Hyllebjerg
651052;Holmgårde, Hyllebjerg
651053;Hyllebjerg By, Hyllebjerg
651054;Padkær Hgd., Hyllebjerg
651055;Svenstrup Gde., Hyllebjerg
651151;Bjørnsholm Hgd., Overlade
651152;Borregård By, Overlade
651153;Munksjørup By, Overlade
651154;Overlade By, Overlade
651155;Padkær Hgd., Overlade
651156;Sønderlade By, Overlade
651157;Søndersø, Overlade
651158;V. Faldgårde, Overlade
651159;Vilsted Sø, Overlade
651160;Ø. Faldgårde, Overlade
651351;Lynnerup Gde., Skivum
651352;Skivum By, Skivum
651353;Sønderlund Gde., Skivum
651354;Vegger Gde., Skivum
651551;Grårup By, Ulstrup
651552;Helminggård, Ulstrup
651553;Hvorvarp By, Ulstrup
651554;Sondrup, Ulstrup
651555;Søttrup By, Ulstrup
651556;Tavdal, Ulstrup
651557;Ulstrup By, Ulstrup
651651;Krogstrup By, V. Hornum
651652;Rise By, V. Hornum
651653;V. Hornum By, V. Hornum
651654;Ørndrup Hgd., V. Hornum
660351;Borup By, Gundersted
660352;Gunderstedgård Hgd., Gundersted
660451;Kornum By, Kornum
660452;Ø. Ørbæk By, Kornum
660651;Løgsted By, Løgsted
660652;Mjallerup By, Løgsted
660653;Ravnstrup By, Løgsted
660654;Tollerupgård, Løgsted
660655;V. Ørbæk By, Løgsted
660656;Vormstrup By, Løgsted
660751;Brøttrup By, Malle
660752;Hedegård, Malle
660753;Lendrup By, Malle
660754;Lendrup Sandø, Malle
660755;Malle By, Malle
660756;Vandsted By, Malle
660757;Vilsted Sø, Malle
660758;Østergård, Malle
660851;Næsborg By, Næsborg
660852;Nørrekær Enge, Næsborg
660853;Tolstrup By, Næsborg
660951;Brårup By, Oudrup
660952;Brårupholm, Oudrup
660953;Brådshave Gde., Oudrup
660954;Hornbæk Gde., Oudrup
660955;Lolholm Gde., Oudrup
660956;Oudrup By, Oudrup
660957;Oudrup Østerhede, Oudrup
660958;Ø. Hedegård, Oudrup
661051;Bjørnsholm Hgd., Ranum
661052;Kærgårde, Ranum
661053;Livø, Ranum
661054;Næsby By, Ranum
661055;Ranum By, Ranum
661056;Rønbjerg By, Ranum
661151;Brøndum By, Skarp Salling
661152;Hemdrup By, Skarp Salling
661153;Skarp Salling By, Skarp Salling
661351;Ny Årupgård, Vilsted
661352;Gårdstedgård, Vilsted
661353;Gatten Møllegård, Vilsted
661354;Haldrup Gde., Vilsted
661355;Hornbæk Gde., Vilsted
661356;Hyllestedgård, Vilsted
661357;Strett Gde., Vilsted
661358;Vilsted By, Vilsted
661359;Vilsted Hede, Vilsted
661360;Vilsted Sø, Vilsted
661361;Ørbæk Hede, Vilsted
661451;Årupgård, Vindblæs
661452;Bjørumslet, Vindblæs
661453;Engelstrup By, Vindblæs
661454;Vindblæs By, Vindblæs
661455;Ø. Strett, Vindblæs
670151;Alstrup By, Alstrup
670152;Elkær Gde., Alstrup
670153;Illeris Gde., Alstrup
670154;Kaldal, Alstrup
670351;Dammergårde, Farsø
670352;Ebdrup By, Farsø
670353;Fandrup By, Farsø
670354;Farsø By, Farsø
670355;Fragtrup By, Farsø
670356;Fredbjerg By, Farsø
670357;Gøttrup By, Farsø
670358;Holme By, Farsø
670359;Holmgård, Farsø
670360;Hvanstrup Hgd., Farsø
670361;Støttrup By, Farsø
670362;Torup Præstegård, Farsø
670363;Vannerup By, Farsø
670451;Dollerup By, Fovlum
670452;Fovlum By, Fovlum
670453;Stistrup By, Fovlum
670551;Gislum By, Gislum
670552;Kællingtandgårde, Gislum
670553;Nyrup By, Gislum
670751;Hessel Hgd., Lovns
670752;Hole By, Lovns
670753;Lovns By, Lovns
670754;Skovgårde, Lovns
671151;Ertebølle By, Strandby
671152;Grønnerup, Strandby
671153;Gunderup, Strandby
671154;Myrhøj By, Strandby
671155;Risgårde By, Strandby
671156;Strandby By, Strandby
671157;Sjørup Gde., Strandby
671158;Tandrup By, Strandby
671159;Vestergårde, Strandby
671351;Søkbæk By, Ullits
671352;Ullits By, Ullits
671451;Årup Gde., Vognsild
671452;Mejlstrup Gde., Vognsild
671453;Morum By, Vognsild
671454;Svoldrup By, Vognsild
671455;Vestrup By, Vognsild
671456;Vognsild By, Vognsild
671457;Østrup By, Vognsild
760251;Ettrup By, Fjelsø
760252;Fjelsø By, Fjelsø
760253;Klotrup By, Fjelsø
760351;Bystrup By, Gedsted
760352;Dalsgård, Gedsted
760353;Gedsted By, Gedsted
760354;Holmmark, Gedsted
761151;Båndrup By, Simested
761153;Eveldrup Præstegård, Simested
761154;Guldager By, Simested
761155;Hverrestrup By, Simested
761158;Simested By, Simested
761160;Torup By, Simested
761351;Testrup By, Testrup
761352;Vesterris By, Testrup
761651;Glerup By, Vesterbølle
761652;Knudstrup By, Vesterbølle
761653;Lerkenfeld Hgd., Vesterbølle
761654;Studstrup, Vesterbølle
761655;Vesterbølle By, Vesterbølle
761751;Bygum By, Østerbølle
761752;Østerbølle By, Østerbølle
761851;Bygum By, Aalestrup
761852;Aalestrup By, Aalestrup
761951;Lerkenfeld Hgd., Svingelbjerg
761952;Svingelbjerg By, Svingelbjerg
2005151;Løgstør Bygrunde
2005152;Løgstør Markjorder
600251;Ajstrup By, Ajstrup
600252;Kirkegårde, Ajstrup
600253;Sindholt, Ajstrup
600255;Vildmosen, Ajstrup
600256;Vrå Hgd., Ajstrup
600651;Hals By, Hals
600652;Hou By, Hals
600653;Østerågård, Hals
600751;Attrup, Hammer
600752;Fjordengene, Hammer
600753;Grindsted By, Hammer
600754;Hammergård, Hammer
600755;Møgelmose, Hammer
600756;Vodskov By, Hammer
600757;Østbjerg, Hammer
600851;Horsens By, Horsens
600852;Langholt Hgd., Horsens
600853;Vesterladen, Horsens
600854;Kinderup, Horsens
600855;Lyngdrup By, Horsens
600951;Gilsiggård, Hvorup
600952;Hvorup By, Hvorup
600953;Hvoruptorp, Hvorup
600954;Lindholm By, Hvorup
600955;Nr. Uttrup By, Hvorup
600956;Voerbjerg By, Hvorup
601051;Agdrup, Sulsted
601052;Langelund, Sulsted
601053;Melsted By, Sulsted
601054;Sulsted By, Sulsted
601055;Sdr. Elkær Hgd., Sulsted
601056;Vang Hgd., Sulsted
601151;Lindholm By, Lindholm
601152;Voerbjerg By, Lindholm
601153;Egholm By, Vesterkær
601154;Tagholmene, Vesterkær
601251;Gettrup Hgd., Ulsted
601252;Hyllen, Ulsted
601253;Klitgård, Ulsted
601254;Den mellemste Del, Ulsted
601255;Tuekær, Ulsted
601256;Ulsted By, Ulsted
601351;Bjørumgård, Vadum
601352;Haldager By, Vadum
601353;Rødslet Hgd., Vadum
601354;Torpet By, Vadum
601355;Vadum By, Vadum
601356;V. Halne By, Vadum
601357;Ø. Halne By, Vadum
601451;Striben, V. Hassing
601453;Stae By, V. Hassing
601454;V. Aslund, V. Hassing
601455;V. Hassing By, V. Hassing
601457;Østerladen, V. Hassing
601458;Ø. Aslund, V. Hassing
601551;Føltved, Ø. Hassing
601552;Gåser By, Ø. Hassing
601553;Gandrup By, Ø. Hassing
601554;Skindbjerg, Ø. Hassing
601555;Den nordøstlige Del, Ø. Hassing
601556;Østerågård, Ø. Hassing
601558;Ø. Hassing By, Ø. Hassing
601559;Østerheden, Ø. Hassing
601560;Vesterheden, Ø. Hassing
610251;Bislev By, Bislev
610252;Djørup By, Bislev
610253;Halkær Mølle, Bislev
610254;Hedegårde By, Bislev
610255;Holmager By, Bislev
610256;Ilsøgård, Bislev
610257;Lundbæk Hgd., Bislev
610258;Pindstrup, Bislev
610259;Snorup, Bislev
610260;Tyrrestrup Gde., Bislev
610451;Aalborg Ladegård, Hasseris
610452;Gl. Hasseris By, Hasseris
610453;Sofiendal By, Hasseris
610551;Annerup, Ellidshøj
610552;Bonderup Gde., Ellidshøj
610553;Ellidshøj By, Ellidshøj
610554;Holmgård, Ellidshøj
610651;Drastrup By, Frejlev
610652;Frejlev By, Frejlev
610861;Lyngbjerggård, Ø. Hornum
610951;Klitgård, Nørholm
610952;Nørholm By, Nørholm
611151;Lere By, Svenstrup
611152;Nr. Svenstrup By, Svenstrup
611153;Sdr. Svenstrup By, Svenstrup
611251;Godrim, Sønderholm
611252;Nyrup By, Sønderholm
611253;Restrup Hgd., Sønderholm
611254;Sønderholm By, Sønderholm
611255;Tostrup By, Sønderholm
611551;Binderup By, Vokslev
611552;Gelstrup By, Vokslev
611553;Grydsted By, Vokslev
611554;Harrild Gde., Vokslev
611555;Harrildhus, Vokslev
611556;Klæstrup By, Vokslev
611557;Klæstruplund, Vokslev
611558;Pandum Hgd., Vokslev
611559;Rodstrup Gde., Vokslev
611560;Simested Gde., Vokslev
611561;Tårup By, Vokslev
611562;Vokslev By, Vokslev
611563;Østergårde, Vokslev
611651;Aalborg Ladegård, Skalborg
611652;Skalborg By, Skalborg
611653;Sofiendal By, Skalborg
620151;Dall By, Dall
620152;Poulstrup By, Dall
620251;Ferslev By, Ferslev
620252;Mjels By, Ferslev
620253;Nøtten By, Ferslev
620254;Pederstrup, Ferslev
620351;Gudum By, Gudum
620451;Fjellerad By, Gunderup
620452;Flamsted By, Gunderup
620453;Færgeålemarken, Gunderup
620454;Gunderup By, Gunderup
620455;Håls By, Gunderup
620456;Lundby By, Gunderup
620457;Oppelstrup By, Gunderup
620458;Skovstrup By, Gunderup
620459;Torderup By, Gunderup
620460;Vaarst By, Gunderup
620551;Klarup By, Klarup
620651;Lillevorde By, Lillevorde
620652;Tiendegård, Lillevorde
620751;Dokkedal By, Mou
620752;Egense By, Mou
620753;Skellet By, Mou
620754;Høstemark Hgd., Mou
620755;Knarmougård, Mou
620756;Mou By, Mou
620757;Vildmosegård, Mou
620951;Gistrup By, Nøvling
620952;Gultentorp By, Nøvling
620953;Lundegårde, Nøvling
620954;Nøvling By, Nøvling
620955;Sæderup By, Nøvling
620956;Visse By, Nøvling
621051;Romdrup By, Romdrup
621151;Sejlflod By, Sejlflod
621251;Storvorde By, Storvorde
621252;Storvorde Østerenge, Storvorde
621351;Gug By, Sdr. Tranders
621352;Sdr. Tranders By, Sdr. Tranders
621551;Volsted By, Volsted
630551;Komdrup By, Komdrup
630552;Refsnæs Hgd., Komdrup
630751;Nr. Kongerslev By, Nr. Kongerslev
630752;Sigsgård, Nr. Kongerslev
631351;Kongstedlund Hgd., Sdr. Kongerslev
631352;Sdr. Kongerslev By, Sdr. Kongerslev
650451;Ejdrup By, Ejdrup
650452;Halkær Hgd., Ejdrup
650453;Kærsgård, Ejdrup
650454;Skørbæk By, Ejdrup
660151;Kyø Hgd., St. Ajstrup
660152;St. Ajstrup By, St. Ajstrup
660153;Viderupgård, St. Ajstrup
660251;Farstrup By, Farstrup
660252;Krastrup Hgd., Farstrup
660253;Kyø Holm, Farstrup
660254;Kølby By, Farstrup
660255;Lundgårde, Farstrup
660256;Nørrekær Enge, Farstrup
660257;Risgård, Farstrup
660258;Stavn By, Farstrup
660259;Vår Holm, Farstrup
660260;Vår Hgd., Farstrup
660261;Viderupkær, Farstrup
660262;Ørsnæs Gde., Farstrup
660551;Beltoft, Lundby
660552;Erkilstrup, Lundby
660553;Frejstrup By, Lundby
660554;Fredsgård, Lundby
660555;Hylkærgård, Lundby
660556;Lundby By, Lundby
660557;Mølgård, Lundby
661251;Barmer By, Sebber
661252;Sebberkloster Hgd., Sebber
661253;Sebbersund By, Sebber
661254;Stavn By, Sebber
661255;Valsted By, Sebber
2005051;Aalborg Bygrunde
2005052;Aalborg Markjorder
2005053;Aalborg Ladegård, Aalborg Jorder
2005054;Mariendal, Aalborg Jorder
2005055;Scheelsminde, Aalborg Jorder
2005056;Rørdal, Aalborg Jorder
2005057;Nr. Tranders, Aalborg Jorder
2005058;Sohngårdsholm Hgd., Aalborg Jorder
2005059;Uttrup, Aalborg Jorder
2005060;Ø. Sundby, Aalborg Jorder
2005251;Nibe Bygrunde
2005252;Nibe Markjorder
2005351;Nørresundby Bygrunde
2005352;Nørresundby Markjorder
210351;Bråby By, Bråby
210352;Gisselfeld Kloster Hgd., Bråby
210353;Hesede Hgd., Bråby
210354;Louiselund, Bråby
210355;Sø Torup By, Bråby
210651;Bregentved Hgd., Freerslev
210652;Freerslev By, Freerslev
210653;Høsten Torp By, Freerslev
210654;Sofiedal Hgd., Freerslev
210851;Badsted By, Haslev
210852;Bregentved Hgd., Haslev
210853;Haslev By, Haslev
210854;Haslev Orned, Haslev
210855;Lysholm By, Haslev
210856;Statafgård, Haslev
210857;Troelstrup By, Haslev
211651;Årløse By, Terslev
211652;Bjerrede By, Terslev
211653;Bøgvad Vænge, Terslev
211654;Høsten Torp By, Terslev
211655;Juellund Hgd., Terslev
211656;Kværrede By, Terslev
211657;Onterød Skov, Terslev
211658;Boholt Skov, Terslev
211659;Pasbjerg Vænge, Terslev
211660;Sofiedal Hgd., Terslev
211661;Storgård, Terslev
211662;Terslev By, Terslev
211663;Tjæreby By, Terslev
211664;Tollerød By, Terslev
211665;Ty-Hastrup By, Terslev
211666;Ulstrup By, Terslev
211751;Skuderløse By, Teestrup
211752;Teestrup By, Teestrup
212151;Førslev By, Øde Førslev
212152;Hesselbjerg By, Øde Førslev
212153;Levetofte By, Øde Førslev
212154;Simmendrup By, Øde Førslev
271351;Rønnede By, V. Egede
271352;V. Egede By, V. Egede
290951;Ll. Torøje By, Smerup
290952;Smerup By, Smerup
290953;St. Torøje By, Smerup
300151;Alslev By, Alslev
300152;Alslevgård Hgd., Alslev
300153;Bonderød By, Alslev
300154;Holtegård, Alslev
300155;Tågerup By, Alslev
300251;Ås By, Sdr. Dalby
300252;Babberup By, Sdr. Dalby
300253;Dalby By, Sdr. Dalby
300254;Dalby-Borup By, Sdr. Dalby
300255;Druestrup By, Sdr. Dalby
300256;Frenderup By, Sdr. Dalby
300257;Høsten By, Sdr. Dalby
300258;Jenstrup By, Sdr. Dalby
300259;Kelstrupgård, Sdr. Dalby
300260;Rode By, Sdr. Dalby
300261;Rodegård, Sdr. Dalby
300262;Tågerup By, Sdr. Dalby
300263;Viverup By, Sdr. Dalby
300351;Borreshoved By, Faxe
300352;Ebbeskov By, Faxe
300353;Faxe By, Faxe
300354;Hovby By, Faxe
300355;Jyderup By, Faxe
300356;Margretelund Hgd., Faxe
300357;Nyrupgård, Faxe
300358;Rejnstrup By, Faxe
300359;Rosendal Hgd., Faxe
300360;Tokkerup By, Faxe
300361;Tuegård, Faxe
300362;Tystrup By, Faxe
300363;Vivede By, Faxe
300364;Værløse By, Faxe
300451;Borreshoved By, Hylleholt
300452;Faxe By, Hylleholt
300453;Fuglsang By, Hylleholt
300454;Hylleholt By, Hylleholt
300455;Kissendrup By, Hylleholt
300456;Ll. Elmue By, Hylleholt
300457;Ll. Favrby By, Hylleholt
300458;Præstevænget, Hylleholt
300459;Rejnstrup By, Hylleholt
300460;St. Favrby By, Hylleholt
300461;Strandhoved By, Hylleholt
300462;Vallebo By, Hylleholt
300463;Vivede By, Hylleholt
300551;Gammelby By, Karise
300552;Hårlev Overdrev, Karise
300553;Jørslev By, Karise
300554;Karise By, Karise
300555;Karise Gde., Karise
300556;Karise-Olstrup By, Karise
300557;Pebringe By, Karise
300558;St. Linde By, Karise
300559;St. Linde Overdrev, Karise
300560;Totterup Gde., Karise
300561;Tryggevælde Hgd., Karise
300651;Åstrup By, Kongsted
300652;Eskilstrup By, Kongsted
300653;Grunderup By, Kongsted
300654;Hyllede By, Kongsted
300655;Kongsted By, Kongsted
300656;Kongsted-Borup By, Kongsted
300657;Leestrup By, Kongsted
300658;Lystrup Hgd., Kongsted
300659;Skov Torup By, Kongsted
300660;Svennerup By, Kongsted
300661;Tingerup By, Kongsted
300751;Lindersvold Hgd., Roholte
300752;Mosebølle By, Roholte
300753;Orup By, Roholte
300754;Roholte By, Roholte
300755;Rosendal Hgd., Roholte
300756;St. Elmue By, Roholte
300757;Strandegård Hgd., Roholte
300758;Vindbyholt By, Roholte
300851;Ll. Spjellerup By, Spjellerup
300852;St. Spjellerup By, Spjellerup
300951;Børsted By, Tureby
300952;Kæderup By, Tureby
300953;Turebyholm Hgd., Tureby
301051;Nielstrup By, Ulse
301052;Olstrup By, Ulse
301053;Skoverup By, Ulse
301054;Ulse By, Ulse
301151;Vemmetofte Kloster, Vemmetofte
301251;Ås By, Ø. Egede
301252;Atterup By, Ø. Egede
301253;Hejede Gde., Ø. Egede
301254;Jomfruens Egede Hgd., Ø. Egede
301255;Monsholt Skov, Ø. Egede
301256;Viverup By, Ø. Egede
310453;Hårlev Overdrev, Hårlev
311053;Ingelstrup By, Sædder
311058;Sprettingegård, Sædder
40151;Gjeddesdal Hgd., Greve
40152;Greve By, Greve
40153;Mosede By, Greve
40451;Karlslunde By, Karlslunde
40452;Kgs. Enge, Karlslunde
40453;Mosede By, Karlslunde
40651;Benzonsdal Hgd., Kildebrønde
40652;Hundige By, Kildebrønde
40653;Kappelgårde, Kildebrønde
40654;Kildebrønde By, Kildebrønde
40655;Strøby Huse, Kildebrønde
41251;Tune By, Tune
470151;Bregninge By, Bregninge
470152;Grønnegade By, Bregninge
470153;Lågerup By, Bregninge
470251;Døllefjelde By, Døllefjelde
470252;Langet By, Døllefjelde
470351;Engestofte By, Engestofte
470352;Forneby By, Engestofte
470353;Olstrup By, Engestofte
470451;Fjelde By, Fjelde
470452;Kartofte By, Fjelde
470551;Godsted By, Godsted
470552;Karleby By, Godsted
470553;Ulriksdal Hgd., Godsted
470651;Egholm Hgd., Herritslev
470652;Herritslev By, Herritslev
470653;Skårup By, Herritslev
470654;Stubberup By, Herritslev
470851;Frejlev By, Kettinge
470852;Kettinge By, Kettinge
470853;Tokkerup By, Kettinge
470951;Hjelm By, Majbølle
470952;Majbølle By, Majbølle
470953;Soesmarke By, Majbølle
471151;Bramsløkke Hgd., Musse
471152;Ll. Musse By, Musse
471153;St. Musse By, Musse
471251;Ålholm Hgd., Vantore
471252;Roden Skov, Vantore
471253;Tågense By, Vantore
471254;Vantore By, Vantore
471351;Hydesby Gde., Radsted
471352;Idalund, Radsted
471353;Krenkerup Hgd., Radsted
471354;Krungerup By, Radsted
471355;Pogemosetofte By, Radsted
471356;Radsted By, Radsted
471357;Radsted Langet By, Radsted
471451;Oreby By, Sakskøbing
471452;Reersø By, Sakskøbing
471453;Rørbæk By, Sakskøbing
471454;Rørbæk Langet By, Sakskøbing
471455;Ødegård, Sakskøbing
471551;Ettehave By, Slemminge
471552;Hejrede By, Slemminge
471553;Kamperhavegård, Slemminge
471554;Ll. Slemminge By, Slemminge
471555;Nørregård, Slemminge
471556;St. Slemminge By, Slemminge
471557;Udstolpe By, Slemminge
471651;Berritsgård Hgd., Tårs
471652;Kallø By, Tårs
471653;Killerup By, Tårs
471654;Tårs By, Tårs
471751;Birket By, Toreby
471752;Flintinge By, Toreby
471753;Fuglsang Hgd., Toreby
471754;Grænge By, Toreby
471755;Nagelsti By, Toreby
471756;Priorskov Hgd., Toreby
471757;Rosenlund Hgd., Toreby
471758;Rykkerup By, Toreby
471759;Sløsserup By, Toreby
471760;Sundby By, Toreby
471761;Toreby By, Toreby
471762;Toreby Skov, Toreby
471851;Agerupgård, Våbensted
471852;Buderup By, Våbensted
471853;Krårup By, Våbensted
471854;Nielstrup Hgd., Våbensted
471855;Stenstrupgård, Våbensted
471856;Trudstolpe, Våbensted
471857;Våbensted By, Våbensted
471951;Handermelle By, V. Ulslev
471952;Sandager By, V. Ulslev
471953;Sløsse By, V. Ulslev
471954;Sørup By, V. Ulslev
471955;V. Ulslev By, V. Ulslev
471956;Øllebølle By, V. Ulslev
472051;Vigsnæs By, Vigsnæs
472151;Ø. Ulslev By, Ø. Ulslev
510151;Alstrup By, Brarup
510152;Brarup By, Brarup
510153;Lundby By, Brarup
510251;Eskilstrup By, Eskilstrup
510252;Hannenov Skov, Eskilstrup
510253;Ovstrup By, Eskilstrup
510254;Stødstrup By, Eskilstrup
510255;Sørup By, Eskilstrup
510351;Gundslev By, Gundslev
510352;Havnsø By, Gundslev
510353;Skerne By, Gundslev
510354;Skovby By, Gundslev
510355;Sortsø By, Gundslev
510451;Ø. Kippinge By, Kippinge
510452;V. Kippinge By, Kippinge
510453;Vålse Inddæmning, Kippinge
510551;Barup By, Lillebrænde
510552;Lillebrænde By, Lillebrænde
510553;Tvedegård, Lillebrænde
510651;Algestrup By, Maglebrænde
510652;Fjendstrup By, Maglebrænde
510653;Maglebrænde By, Maglebrænde
510654;Stangerup By, Maglebrænde
510751;Nr. Alslev By, Nr. Alslev
510752;Ravnse By, Nr. Alslev
510851;Bannerup By, Nr. Kirkeby
510852;Lommelev By, Nr. Kirkeby
510853;Nebøllegård, Nr. Kirkeby
510854;Nr. Kirkeby By, Nr. Kirkeby
510855;Ravnstrup By, Nr. Kirkeby
510951;Egelev By, Nr. Vedby
510952;Gåbense, Nr. Vedby
510953;Nr. Grimmelstrup By, Nr. Vedby
510954;Nr. Vedby By, Nr. Vedby
510955;Orehoved By, Nr. Vedby
510956;Riserup By, Nr. Vedby
510957;Vålse Inddæmning, Nr. Vedby
511051;Sundby By, Stadager
511052;Vennerslund Hgd., Stadager
511151;Bruntofte By, Tingsted
511152;Gl. Kirstineberg Hgd., Tingsted
511153;Hannenov Skov, Tingsted
511154;Klodskov Skov, Tingsted
511155;Kraghave By, Tingsted
511156;Ny Kirstineberg Hgd., Tingsted
511157;Stubberup By, Tingsted
511158;Tåderup By, Tingsted
511159;Tingsted By, Tingsted
511160;Øverup By, Tingsted
511251;Dukkerup By, Torkilstrup
511252;Gundslevmagle By, Torkilstrup
511253;Sullerup By, Torkilstrup
511254;Torkilstrup By, Torkilstrup
511255;Tårup By, Torkilstrup
511351;Egense By, Vålse
511352;Resleskov, Vålse
511353;Valnæsgård Hgd., Vålse
511354;Vålse By, Vålse
511355;Vålse Inddæmning, Vålse
511451;Boderupgård, Ønslev
511452;Byskov By, Ønslev
511453;Klodskov By, Ønslev
511454;Ønslev By, Ønslev
520151;Åstrup By, Åstrup
520152;Hesnæs By, Åstrup
520153;Karlsfelt Hgd., Åstrup
520154;Moseby By, Åstrup
520155;Næs By, Åstrup
520156;Ore By, Åstrup
520157;Vejringe By, Åstrup
520251;Dalbygård, Falkerslev
520252;Falkerslev By, Falkerslev
520253;Skørringe Hgd., Falkerslev
520254;Truelstrup By, Falkerslev
520255;Virket By, Falkerslev
520351;Gedesby By, Gedesby
520352;Gedesskov Huse, Gedesby
520451;Bregninge By, Horbelev
520452;Bønnet By, Horbelev
520453;Sdr. Grimmelstrup By, Horbelev
520454;Halskov By, Horbelev
520455;Horbelev By, Horbelev
520456;Meelse By, Horbelev
520457;Skjoltrup By, Horbelev
520458;Særslev By, Horbelev
520459;Nr. Tåstrup By, Horbelev
520551;Eget By, Horreby
520552;Horreby By, Horreby
520553;Horreby Lyng, Horreby
520554;Nr. Ørslev By, Horreby
520651;Brændte Ege, Idestrup
520652;Bøtø Nor, Idestrup
520653;Elkenøre By, Idestrup
520654;Hasselø Inddæmning, Idestrup
520655;Hillestrup By, Idestrup
520656;Idestrup By, Idestrup
520657;Langø, Idestrup
520658;Orupgård Hgd., Idestrup
520659;Sildestrup By, Idestrup
520660;Sdr. Tåstrup By, Idestrup
520661;Sdr. Vedby By, Idestrup
520662;Sdr. Ørslev By, Idestrup
520663;Tjæreby By, Idestrup
520664;Ulslev By, Idestrup
520751;Karleby By, Karleby
520752;Tunderup By, Karleby
520851;Bjergegård, Sdr. Kirkeby
520852;Egebjerg By, Sdr. Kirkeby
520853;Korselitse Hgd., Sdr. Kirkeby
520854;Orupgård Hgd., Sdr. Kirkeby
520855;Sdr. Kirkeby By, Sdr. Kirkeby
520951;Bøtø Nor, Skelby
520952;Fiskebæk By, Skelby
520953;Gedsergård Hgd., Skelby
520954;Skelby By, Skelby
520955;Stavreby By, Skelby
521051;Bjørup By, Systofte
521052;Kristiansminde, Systofte
521053;Hullebæk By, Systofte
521054;Ravnstrup Skov, Systofte
521055;Systofte By, Systofte
521151;Korselitse Hgd., Sdr. Alslev
521152;Sdr. Alslev By, Sdr. Alslev
521251;Bruserup By, Væggerløse
521252;Bøtø By, Væggerløse
521253;Bøtø Nor, Væggerløse
521254;Bøtø Fang, Væggerløse
521255;Hasselø By, Væggerløse
521256;Hasselø Inddæmning, Væggerløse
521257;Højet By, Væggerløse
521258;Marrebæk By, Væggerløse
521259;Radbjerg By, Væggerløse
521260;Stovby By, Væggerløse
521261;Stovby Fælledsø, Væggerløse
521262;Væggerløse By, Væggerløse
521351;Bjergegård, Nr. Ørslev
521352;Listrup By, Nr. Ørslev
521353;Nr. Ørslev By, Nr. Ørslev
521354;Orupgård Hgd., Nr. Ørslev
521451;Hasselø By, Nykøbing F.
521452;Hasselø Inddæmning, Nykøbing F.
521453;Brændte Ege, Nykøbing F.
521454;Kringelborg, Nykøbing F.
521455;Sdr. Vedby By, Nykøbing F.
521456;Tjæreby By, Nykøbing F.
2002951;Nykøbing F. Bygrunde
2002952;Nykøbing F. Markjorder
2002953;Hasselø Inddæmning, Nykøbing F. Jorder
2002954;Vestensborg, Nykøbing F. Jorder
2003051;Nysted Bygrunde
2003052;Nysted Markjorder
2003251;Sakskøbing Bygrunde
2003252;Sakskøbing Markjorder
2003351;Stubbekøbing Bygrunde
2003352;Stubbekøbing Markjorder
140151;Stigs Bjergby By, Stigs Bjergby
140251;Simmenfeld By, Frydendal
140252;Torbenfeld Hgd., Frydendal
140351;Gislinge By, Gislinge
