kode;navn
100766;Ullerup By, Torup
100951;Arresødal Hgd., Vinderød
100952;Karsemose By, Vinderød
100953;Vinderød By, Vinderød
100954;Arresø, Vinderød
101051;Grimstrup Gde., Ølsted
101052;Ll. Havelse By, Ølsted
101053;St. Havelse By, Ølsted
101054;Ubberup By, Ølsted
101055;Ølsted By, Ølsted
101056;Arresø, Ølsted
2000551;Frederiksværk Bygrunde
2000552;Frederiksværk Markjorder
120251;Dalsborg, Egebæksvang
120252;Egebæksvang Skov, Egebæksvang
120253;Espergærde By, Egebæksvang
120254;Mørdrup By, Egebæksvang
120255;Skotterup By, Egebæksvang
120256;Snekkersten By, Egebæksvang
120257;Tibberup By, Egebæksvang
120451;Ålsgårde, Hellebæk
120452;Apperup By, Hellebæk
120453;Boderne, Hellebæk
120454;Ellekilde By, Hellebæk
120455;Hellebækgård, Hellebæk
120456;Nygård, Hellebæk
120457;Horserød By, Hellebæk
120458;Skibstrup By, Hellebæk
120459;Stenstrup Overdrev, Hellebæk
120460;Teglstrup Hegn, Hellebæk
120551;Borsholm By, Hornbæk
120552;Havreholm By, Hornbæk
120553;Holmegårde, Hornbæk
120554;Hornbæk By, Hornbæk
120555;Hornbæk Fiskerleje, Hornbæk
120556;Hornbæk Plantage, Hornbæk
120557;Horneby By, Hornbæk
120558;Horserød By, Hornbæk
120559;Klosterris Hegn, Hornbæk
120560;Risby Fredskov, Hornbæk
120561;Saunte By, Hornbæk
120562;Stenstrup By, Hornbæk
120651;Bistrup By, Tikøb
120652;Borsholm By, Tikøb
120653;Bøtterup By, Tikøb
120654;Gurre By, Tikøb
120655;Gurrehus, Tikøb
120656;Gurre Vang, Tikøb
120657;Harreshøj By, Tikøb
120658;Hornbæk By, Tikøb
120659;Horserød By, Tikøb
120660;Horserød Hegn, Tikøb
120661;Jonstrup By, Tikøb
120662;Kathøjgård, Tikøb
120663;Munkegårde, Tikøb
120664;Krogenberg Hegn, Tikøb
120665;Kronborg Teglværk, Tikøb
120666;Ll. Esbønderup By, Tikøb
120667;Nyrup By, Tikøb
120668;Nyrup Hegn, Tikøb
120669;Plejelt By, Tikøb
120670;Reerstrup By, Tikøb
120671;Risby Huse, Tikøb
120672;Rørtang By, Tikøb
120673;Såne By, Tikøb
120674;Saunte By, Tikøb
120675;Stenstrup By, Tikøb
120676;Teglstrup Hegn, Tikøb
120677;Tikøb By, Tikøb
120678;Tikøb Skovhuse, Tikøb
120679;Ørsholt, Tikøb
120680;Esrum Sø, Tikøb
120851;Flynderupgård, Mørdrup
120852;Kelleris Skov, Mørdrup
120853;Mørdrup By, Mørdrup
120854;Nyrup By, Mørdrup
120855;Tibberup By, Mørdrup
2000651;Helsingør Bygrunde
2000652;Helsingør Markjorder
2000653;Helsingør Overdrev
2000654;Kronborg Fæstning, Helsingør Jorder
2000655;Kronborg Ladegård, Helsingør Jorder
2000656;Marienlyst, Helsingør Jorder
2000657;Meulenborg, Helsingør Jorder
2000658;Borupgård, Helsingør Jorder
2000659;Kronborg Teglværk, Helsingør Jorder
2000660;Rørtang, Helsingør Jorder
10451;Herlev
14152;Hjortespring
80351;Borup By, Gørløse
80352;Gørløse By, Gørløse
80751;Freerslev By, Nr. Herlev
80752;Hammersholt By, Nr. Herlev
80753;Herlev By, Nr. Herlev
80754;Børstingerød By, Nr. Herlev
81352;Lystrup By, Uvelse
81353;Uvelse By, Uvelse
100151;Alsønderup By, Alsønderup
100152;Bendstrup By, Alsønderup
100153;Nejede By, Alsønderup
100154;Strøgårdsvang, Alsønderup
100155;Tulstrup By, Alsønderup
100156;V. Strødam, Alsønderup
100157;Arresø, Alsønderup
100351;Ll. Lyngby By, Ll. Lyngby
