Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse
1084,Hovedstaden,210,Fredensborg Kommune,130452,"Brønsholm By, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130453,"Fredtofte By, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130454,"Grønholt Hegn, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130455,"Gunderød By, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130456,"Hesselrød By, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130457,"Jellerød, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130458,"Karlebo By, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130459,"Karlebo Overdrev, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130460,"Kirkelte By, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130461,"Nivågård, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130462,"Nivå Mølle, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130463,"Niverød By, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130464,"Stasevang, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130465,"Ullerød By, Karlebo"
1084,Hovedstaden,210,Fredensborg Kommune,130466,"Vejenbrød By, Karlebo"
1084,Hovedstaden,147,Frederiksberg Kommune,10051,Frederiksberg
1084,Hovedstaden,250,Frederikssund Kommune,70251,"Bakkegårde, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70252,"Barakkerne, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70253,"Jægerspris Hgd., Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70254,"Kobbelgårde, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70255,"Neder Dråby By, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70256,"Nygårde, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70257,"Nyhuse, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70258,"Over Dråby By, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70259,"Slagelsegårdene, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70260,"Troldegårde, Dråby"
1084,Hovedstaden,250,Frederikssund Kommune,70351,"Egholm Hgd., Ferslev"
1084,Hovedstaden,250,Frederikssund Kommune,70352,"Ferslev By, Ferslev"
1084,Hovedstaden,250,Frederikssund Kommune,70353,"Røgerup By, Ferslev"
1084,Hovedstaden,250,Frederikssund Kommune,70354,"Svanholm Hgd., Ferslev"
1084,Hovedstaden,250,Frederikssund Kommune,70355,"Vejleby By, Ferslev"
1084,Hovedstaden,250,Frederikssund Kommune,70356,"Venslev By, Ferslev"
1084,Hovedstaden,250,Frederikssund Kommune,70451,"Gerlev By, Gerlev"
1084,Hovedstaden,250,Frederikssund Kommune,70452,"Landerslev By, Gerlev"
1084,Hovedstaden,250,Frederikssund Kommune,70453,"Lyngerup By, Gerlev"
1084,Hovedstaden,250,Frederikssund Kommune,70454,"Tørslev By, Gerlev"
1084,Hovedstaden,250,Frederikssund Kommune,70551,"Dalby By, Krogstrup"
1084,Hovedstaden,250,Frederikssund Kommune,70552,"Krogstrup By, Krogstrup"
1084,Hovedstaden,250,Frederikssund Kommune,70553,"Lyngerup By, Krogstrup"
1084,Hovedstaden,250,Frederikssund Kommune,70554,"Onsved By, Krogstrup"
1084,Hovedstaden,250,Frederikssund Kommune,70555,"Orebjerg Hgd., Krogstrup"
1084,Hovedstaden,250,Frederikssund Kommune,70556,"Pagterold, Krogstrup"
1084,Hovedstaden,250,Frederikssund Kommune,70557,"Svanholm Hgd., Krogstrup"
1084,Hovedstaden,250,Frederikssund Kommune,70651,"Kyndby By, Kyndby"
1084,Hovedstaden,250,Frederikssund Kommune,70751,"Eskilsø, Selsø"
1084,Hovedstaden,250,Frederikssund Kommune,70752,"Selsø Hgd., Selsø"
1084,Hovedstaden,250,Frederikssund Kommune,70753,"Sønderby By, Selsø"
1084,Hovedstaden,250,Frederikssund Kommune,70754,"Østby By, Selsø"
1084,Hovedstaden,250,Frederikssund Kommune,70851,"Bonderup By, Skibby"
1084,Hovedstaden,250,Frederikssund Kommune,70852,"Manderup By, Skibby"
1084,Hovedstaden,250,Frederikssund Kommune,70853,"Røgerup By, Skibby"
1084,Hovedstaden,250,Frederikssund Kommune,70854,"Skibby By, Skibby"
1084,Hovedstaden,250,Frederikssund Kommune,70951,"Onsved By, Skuldelev"
1084,Hovedstaden,250,Frederikssund Kommune,70952,"Pagterold, Skuldelev"
1084,Hovedstaden,250,Frederikssund Kommune,70953,"Skuldelev By, Skuldelev"
1084,Hovedstaden,250,Frederikssund Kommune,70954,"Torpegård, Skuldelev"
1084,Hovedstaden,250,Frederikssund Kommune,71051,"Vellerup By, Vellerup"
1084,Hovedstaden,250,Frederikssund Kommune,80251,"Græse By, Græse"
1084,Hovedstaden,250,Frederikssund Kommune,80451,"Hagerup By, Jørlunde"
1084,Hovedstaden,250,Frederikssund Kommune,80452,"Hagerup Sø, Jørlunde"
1084,Hovedstaden,250,Frederikssund Kommune,80453,"Jørlunde By, Jørlunde"
1084,Hovedstaden,250,Frederikssund Kommune,80454,"Påstrup By, Jørlunde"
1084,Hovedstaden,250,Frederikssund Kommune,80457,"Sundbylille By, Jørlunde"
1084,Hovedstaden,250,Frederikssund Kommune,80851,"Oppe Sundby By, Oppe Sundby"
1084,Hovedstaden,250,Frederikssund Kommune,80951,"Sigerslevvester By, Sigerslevvester"
1084,Hovedstaden,250,Frederikssund Kommune,81051,"Hørup By, Slangerup"
1084,Hovedstaden,250,Frederikssund Kommune,81052,"Jordhøj By, Slangerup"
1084,Hovedstaden,250,Frederikssund Kommune,81053,"Manderup By, Slangerup"
1084,Hovedstaden,250,Frederikssund Kommune,81054,"Kvinderup By, Slangerup"
1084,Hovedstaden,250,Frederikssund Kommune,81055,"Slangerup By, Slangerup"
1084,Hovedstaden,250,Frederikssund Kommune,81351,"Lindholm By, Uvelse"
1084,Hovedstaden,250,Frederikssund Kommune,90451,"Ll. Rørbæk By, Snostrup"
1084,Hovedstaden,250,Frederikssund Kommune,90452,"Snostrup By, Snostrup"
1084,Hovedstaden,250,Frederikssund Kommune,90453,"St. Rørbæk By, Snostrup"
1084,Hovedstaden,250,Frederikssund Kommune,2000451,Frederikssund Bygrunde
1084,Hovedstaden,250,Frederikssund Kommune,2000452,Frederikssund Markjorder
1084,Hovedstaden,250,Frederikssund Kommune,2000453,"Bonderup, Frederikssund Jorder"
1084,Hovedstaden,250,Frederikssund Kommune,2000454,"Ude Sundby, Frederikssund Jorder"
1084,Hovedstaden,190,Furesø Kommune,20951,"Bringe By, Værløse"
1084,Hovedstaden,190,Furesø Kommune,20952,"Borup Sø, Værløse"
1084,Hovedstaden,190,Furesø Kommune,20953,"Hareskov By, Værløse"
1084,Hovedstaden,190,Furesø Kommune,20954,"Jonstrup Vang, Værløse"
1084,Hovedstaden,190,Furesø Kommune,20955,"Kirke Værløse By, Værløse"
1084,Hovedstaden,190,Furesø Kommune,20956,"Kollekolle By, Værløse"
1084,Hovedstaden,190,Furesø Kommune,20957,"Ll. Værløse By, Værløse"
1084,Hovedstaden,190,Furesø Kommune,20958,"Søndersø, Værløse"
1084,Hovedstaden,190,Furesø Kommune,20959,"Furesø, Værløse"
1084,Hovedstaden,190,Furesø Kommune,90151,"Bregnerød By, Farum"
1084,Hovedstaden,190,Furesø Kommune,90152,"Farum By, Farum"
1084,Hovedstaden,190,Furesø Kommune,90153,"Farumgård, Farum"
1084,Hovedstaden,190,Furesø Kommune,90154,"Ravnsholt Skov, Farum"
1084,Hovedstaden,190,Furesø Kommune,90155,"Stavnsholt By, Farum"
1084,Hovedstaden,190,Furesø Kommune,90156,"Furesø, Farum"
1084,Hovedstaden,157,Gentofte Kommune,10151,Gentofte
1084,Hovedstaden,157,Gentofte Kommune,10352,Hellerup
1084,Hovedstaden,157,Gentofte Kommune,11052,Charlottenlund
1084,Hovedstaden,157,Gentofte Kommune,11053,Kristiansholm
1084,Hovedstaden,157,Gentofte Kommune,11054,Ordrup
1084,Hovedstaden,157,Gentofte Kommune,11253,Skovshoved
1084,Hovedstaden,157,Gentofte Kommune,12251,Bernstorff
1084,Hovedstaden,157,Gentofte Kommune,12252,Ermelund
1084,Hovedstaden,157,Gentofte Kommune,12254,Jægersborg
1084,Hovedstaden,157,Gentofte Kommune,12255,Vangede
1084,Hovedstaden,159,Gladsaxe Kommune,10251,Buddinge
1084,Hovedstaden,159,Gladsaxe Kommune,10252,Gladsaxe
1084,Hovedstaden,159,Gladsaxe Kommune,12751,Bagsværd
1084,Hovedstaden,159,Gladsaxe Kommune,13251,Mørkhøj
1084,Hovedstaden,161,Glostrup Kommune,20451,"Ejby By, Glostrup"
