stedid;navn;brofast;antal
1233766a-0b45-6b98-e053-d480220a5a3f;Klokkerholm;f;0
1233766a-0b46-6b98-e053-d480220a5a3f;Langholm;f;0
1233766a-0b48-6b98-e053-d480220a5a3f;Lilleø;f;0
1233766a-0b55-6b98-e053-d480220a5a3f;Tobaksholm;f;0
1233766a-0b5a-6b98-e053-d480220a5a3f;Yderste Holm;f;0
1233766a-0b5e-6b98-e053-d480220a5a3f;Nørrerev;f;0
1233766a-0b61-6b98-e053-d480220a5a3f;Ægholm;f;0
1233766a-0b64-6b98-e053-d480220a5a3f;Blak;f;0
1233766a-0b66-6b98-e053-d480220a5a3f;Kværnø;f;0
1233766a-0b68-6b98-e053-d480220a5a3f;Studeholm;f;0
1233766a-0b70-6b98-e053-d480220a5a3f;Hyldeholm;f;0
1233766a-0b71-6b98-e053-d480220a5a3f;Langholm;f;0
1233766a-0b74-6b98-e053-d480220a5a3f;Sivholm;f;0
1233766a-0b75-6b98-e053-d480220a5a3f;Uglen;f;0
1233766a-0b7f-6b98-e053-d480220a5a3f;Ringøen;f;0
1233766a-0b82-6b98-e053-d480220a5a3f;Svaleø;f;0
1233766a-0bb3-6b98-e053-d480220a5a3f;Koholm;f;0
1233766a-0bb4-6b98-e053-d480220a5a3f;Langholm;f;0
1233766a-0bd1-6b98-e053-d480220a5a3f;Eskilsholm;f;0
1233766a-0bd8-6b98-e053-d480220a5a3f;Langø;f;0
1233766a-0bd9-6b98-e053-d480220a5a3f;Langø;f;0
1233766a-0bdb-6b98-e053-d480220a5a3f;Lindholm;f;0
1233766a-0bdf-6b98-e053-d480220a5a3f;Rønø;f;0
1233766a-0c25-6b98-e053-d480220a5a3f;Storø;t;0
1233766a-0c8f-6b98-e053-d480220a5a3f;Langeholm;t;0
1233766a-0cd2-6b98-e053-d480220a5a3f;Kaninholm;f;0
1233766a-0cd4-6b98-e053-d480220a5a3f;Mågeholm;f;0
1233766a-0cd8-6b98-e053-d480220a5a3f;Svanholm;f;0
1233766a-0d3f-6b98-e053-d480220a5a3f;Fantasiens Ø;t;0
1233766a-0d9c-6b98-e053-d480220a5a3f;Øksneholm;f;0
1233766a-0da6-6b98-e053-d480220a5a3f;Ammesholm;f;0
1233766a-0db4-6b98-e053-d480220a5a3f;Kølholm;f;0
1233766a-0dbb-6b98-e053-d480220a5a3f;Stenø;f;0
1233766a-0dbc-6b98-e053-d480220a5a3f;Stenø;f;0
1233766a-0e21-6b98-e053-d480220a5a3f;Enkeltstensrev;f;0
1233766a-0e2d-6b98-e053-d480220a5a3f;Christiansø;f;0
1233766a-0e2e-6b98-e053-d480220a5a3f;Frederiksø;f;0
1233766a-0e2f-6b98-e053-d480220a5a3f;Græsholm;f;0
1233766a-0e32-6b98-e053-d480220a5a3f;Kalven;f;0
1233766a-0e34-6b98-e053-d480220a5a3f;Langeskær;f;0
1233766a-0e38-6b98-e053-d480220a5a3f;Tat;f;0
1233766a-0ef0-6b98-e053-d480220a5a3f;Sorteskær;f;0
1233766a-0f9b-6b98-e053-d480220a5a3f;Svejbækø;f;0
1233766a-0faa-6b98-e053-d480220a5a3f;Terneøen;f;0
1233766a-0fc0-6b98-e053-d480220a5a3f;Skrædderholmen;t;0
1233766a-0fcd-6b98-e053-d480220a5a3f;Maeholm;f;0
1a34955a-f842-3b93-e053-d380220a1371;Kaninøen;f;0
